Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Variable
"[9719.31, inf)",1339,0.07335378547167744,555,784,0.585511575802838,-0.34544090660397364,0.008667247464918364,0.001078051110621112,Loans
[False],6273,0.34365070669442316,4558,1715,0.27339391040969235,0.9774708502055891,0.30447569049353457,0.0366131731855919,Branch_Transactions
[True],11981,0.6563492933055769,4569,7412,0.6186461898005174,-0.48380594584197856,0.15070234513298408,0.018656194709782997,Branch_Transactions
[False],11049,0.6052919907965377,6926,4123,0.37315594171418226,0.5187013922554672,0.15929878410124623,0.019692081710927456,ATM_Transactions
[True],7205,0.3947080092034623,2201,5004,0.6945176960444136,-0.8213257900603399,0.25223799600516417,0.030672384054467754,ATM_Transactions
[True False],18254,1.0,9127,9127,0.5,0.0,0.0,0.0,Phone_Transactions
[False True],18254,1.0,9127,9127,0.5,0.0,0.0,0.0,Internet_Transactions
[True False],18254,1.0,9127,9127,0.5,0.0,0.0,0.0,Standing_Orders
"(-inf, 0.50)",4173,0.22860742850882,3485,688,0.16486939851425833,1.6224344852612806,0.4972005319684236,0.056120889163991945,Transactions
"[0.50, 1.50)",1184,0.06486249589131149,882,302,0.25506756756756754,1.0717650386319217,0.06810821983198363,0.008128108740141221,Transactions
"[1.50, 2.50)",1110,0.060808589898104524,648,462,0.41621621621621624,0.33832580527053585,0.006894773724150285,0.0008577596503503296,Transactions
"[2.50, 3.50)",1010,0.055330338555932945,493,517,0.5118811881188119,-0.04753370046573918,0.00012499274801991165,1.5622622756144362e-05,Transactions
"[3.50, 5.50)",2038,0.11164676235345677,949,1089,0.5343473994111875,-0.13760632432303266,0.0021107576865590626,0.00026363673972292856,Transactions
"[5.50, 7.50)",1362,0.0746137832803769,493,869,0.6380323054331865,-0.5668339512227019,0.023351546582637883,0.002880483054839268,Transactions
"[7.50, 9.50)",1329,0.07280596033746028,402,927,0.6975169300225733,-0.8355014769468336,0.04805941441843848,0.005838574659727105,Transactions
"[9.50, inf)",6048,0.3313246411745371,1775,4273,0.7065145502645502,-0.8785157337345084,0.24044399067259817,0.02912479874051694,Transactions
