Bin,Count,Count (%),Non-event,Event,Event rate,WoE,IV,JS,Variable
"(-inf, 682.50)",1459,0.07992768708228333,589,870,0.5962988348183688,-0.39006702799704274,0.01200929493449863,0.0014917167989102727,Customer_ID
"[682.50, 2377.50)",2671,0.14632409334940288,1583,1088,0.40733807562710594,0.3749806324651243,0.020336957715595107,0.002527329948451654,Customer_ID
"[2377.50, 3544.50)",1739,0.09526679084036375,1111,628,0.36112708453133985,0.5704756231714314,0.030189517474723503,0.0037233364941001695,Customer_ID
"[3544.50, 7440.50)",6931,0.3796976005259121,3586,3345,0.4826143413648824,0.06957068160274923,0.001837025776954379,0.00022958192420230884,Customer_ID
"[7440.50, 8739.50)",2590,0.14188670976224388,1161,1429,0.5517374517374517,-0.20769319623197566,0.006098584046255009,0.0007609557908902281,Customer_ID
"[8739.50, inf)",2864,0.156897118439794,1097,1767,0.6169692737430168,-0.4767040120444662,0.034994158876935716,0.004333316544968713,Customer_ID
['F'],5983,0.32776377780212557,3345,2638,0.44091592846398125,0.2374456392850689,0.01839312665438192,0.0022937549054450924,Gender
['M'],12271,0.6722362221978745,5782,6489,0.5288077581289219,-0.11535879204487734,0.00893597742694513,0.0011163782314972254,Gender
['Starší'],2545,0.13942149665826667,1893,652,0.256188605108055,1.0658735892826698,0.1449270433110325,0.017304262072675613,Age_Groups
['Starší střední'],3053,0.1672510134764983,1661,1392,0.4559449721585326,0.17667826871893014,0.0052072372395521125,0.0006500593854809871,Age_Groups
['Střední'],4051,0.22192396187137065,1857,2194,0.541594667983214,-0.1667640794824695,0.006157499154770708,0.0007687967491283431,Age_Groups
['Mladý'],4617,0.2529308644680618,2013,2604,0.5640025990903184,-0.2574225776886684,0.016668866376027505,0.002077874241848906,Age_Groups
['Mladší střední'],3988,0.21847266352580255,1703,2285,0.5729689067201604,-0.2939746226656165,0.018745834380561963,0.0023348279058212906,Age_Groups
['Master'],2693,0.1475293086446806,1858,835,0.31006312662458224,0.7998241945229284,0.08964831280781808,0.010916581174167387,Ten_Groups
['Senior'],3281,0.1797414265366495,1850,1431,0.43614751600121915,0.25681213851591955,0.01178966648824042,0.001469671839102276,Ten_Groups
['Střední'],3571,0.19562835542894708,1807,1764,0.4939792775133016,0.024084054025491672,0.00011346711110947284,1.418304610876402e-05,Ten_Groups
['Normální'],2949,0.16155363208063986,1416,1533,0.5198372329603256,-0.07939060461814935,0.0010177167459541386,0.00012718119473594967,Ten_Groups
['Nový'],5760,0.31554727730908294,2196,3564,0.61875,-0.4842459859612787,0.07258118864851856,0.008985029904826955,Ten_Groups
